Column1;song;track_n;album;year;lyric;decade
22;Oxford Town;9;The Freewheelin' Bob Dylan;1963;oxford town  oxford town everybody got their heads bowed down the sun do not shine above the ground i am a going down to oxford town he went down to oxford town guns and clubs followed him down all because his face was brown better get away from oxford town oxford town around the bend come in to the door  he could not get in all because of the color of his skin what do you think about that  my friend  me  my girl  my girl son we got met with a tear gas bomb i do not even know why we come going back where we come from oxford town in the afternoon everybody singing a sorrowful tune two men died beneath the mississippi moon somebody better investigate soon;1960s
23;Talkin' World War III Blues;10;The Freewheelin' Bob Dylan;1963;one time ago a crazy dream came to me i dreamt i was walking to world war three i went to the doctor the very next day to see what kind of words he could say he said it was a bad dream  i would not worry about it none  though them old dreams are only in your head  i said    hold it doc  a world war passed through my brain    he said    nurse  get your pad  the boy insane    he grabbed my arm  i said    ouch    as i landed on the psychiatric couch he said    tell me about it    well  the whole thing started at 3 o clock fast it was all over by a quarter past i was down in the sewer with some little lover when i peeked out from a manhole cover wondering who turned the lights on us well  i got up and i walked around up and down the lonesome town i stood a wondering which way to go i lit a cigarette on a parking meter and walked on down the road it was a normal day well  i rung the fallout shelter bell and i leaned my head and i give a yell    give me a string bean  i am a hungry man   a shotgun fired  and away i ran i do not blame him too much though  he did not know me down at the corner by the hot dog stand i seen a man i said    howdy friend  i guess there just us two    he screamed a bit  and away he flew thought i was a communist well  i spied me a girl and before she could leave i said    let go and play adam and eve    i took her by the hand  and my heart was thumping when she said    hey man  you crazy or something  you seen what happened last time they started    well  i seen me a cadillac window uptown there was nobody around i got into the driver seat and i drove down 42nd street in my cadillac good car to drive after a war well  i remember seeing some ad so i turned on my conelrad but i did not pay the con ed bill so the radio did not work so well turned on my record player     it was rock a day johnny  singing    tell your ma  tell your pa our love a going to grow  ooh wah  ooh wah    i was feeling kind of lonesome and blue i needed somebody to talk to so i called up the operator of time just to hear a voice of some kind    when you hear the beep it will be three o clock    she said that for over an hour and i hung up well  the doctor interrupted me just about then saying    hey i have been having the same old dreams but mine was a little different  you see i dreamt the only person left after the war was me i did not see you around  well  now time passed and now it seems everybody having them dreams everybody sees their self walking around with no one else  half of the people can be part right all of the time and some of the people can be all right part of the time but all of the people can not be all right all of the time  i think abraham lincoln said that   i will let you be in my dream if i can be in yours    i said that;1960s
24;Corrina, Corrina;11;The Freewheelin' Bob Dylan;1963;corrina  corrina girl  where you been so long  corrina  corrina girl  where you been so long  i been worrying about you  baby baby  please come home i got a bird that whistles i got a bird that sings i got a bird that whistles i got a bird that sings but i ai not got corrina life do not mean a thing corrina  corrina girl  you are on my mind corrina  corrina girl  you are on my mind i am a sittin down thinkin of you i just can not keep from crying;1960s
25;Honey, Just Allow Me One More Chance;12;The Freewheelin' Bob Dylan;1963;honey  just allow me one more chance to get along with you honey  just allow me one more chance i will do anything for you well  i am a walking down the road with my head in my hand i am looking for a woman needs a worried man just a one kind favor i ask you loan me just a one more chance honey  just allow me one more chance to ride your airplane honey  just allow me one more chance to ride your passenger train well  i have been looking all over for a girl like you i can not find no better so you will have to do there just a one kind favor i ask you loan me just a one more chance honey  just allow me one more chance to get along with you honey  just allow me one more chance i will do anything for you well  looking for a woman that ai not got no man is just looking for a needle that lost in the sand just a one kind favor i ask you loan me just a one more chance;1960s
26;I Shall Be Free;13;The Freewheelin' Bob Dylan;1963;well  i took me a woman late last night i three fourths drunk  she looked alright  til she started peeling off her onion gook took off her wig  said     how do i look   i high flying  bare naked out the window well  sometimes i might get drunk walk like a duck and smell like a skunk do not hurt me none  it do not hurt my pride because i got my little lady right by my side she a tryin to hide  pretendin  she do not know me i out there painting on the old woodshed when a can of black paint  it fell on my head i went down to scrub and rub but i had to sit in back of the tub cost a quarter half price well  my telephone rang  it would not stop it president kennedy calling me up he said     my friend  bob what do we need to make the country grow     i said     my friend  john  brigitte bardot anita ekberg sophia loren    country will grow well  i got a woman  five feet short she yells and hollers and screams and snorts she tickles my nose  pats me on the head rolls me over and kicks me out of bed she a man eater  meat grinder  bad loser oh  there ai not no use in me working all the time i got a woman who works herself blind works up to her britches  up to her neck writes me letters and sends me checks she a humdinger folk singer late one day in the middle of the week eyes were closed  i was half asleep i chased me a woman up the hill right in the middle of an air raid drill i jumped a fallout shelter i jumped a string bean i jumped a tv dinner i jumped a shotgun now  the man on the stand  he wants my vote he a running for office on the ballot note he out there preaching in front of the steeple telling me he loves all kinds of people he eatin  bagels he eatin  pizza he eatin  chitlins oh  set me down on a television floor i will flip the channel to number four out of the shower comes a football man with a bottle of oil in his hand greasy kid stuff what i want to know  mr  football man  is what do you do about willy mays martin luther king olatunji well  the funniest woman i ever seen was the great granddaughter of mr  clean she takes about fifteen baths a day wants me to grow a mustache on my face she insane well  they ask me why i am drunk all the time it levels my head and eases my mind i just walk along and stroll and sing i see better days and i do better things i catch dinosaurs make love to elizabeth taylor catch hell from richard burton;1960s
27;All I Really Want to Do;1;Another Side of Bob Dylan;1964;i ai not lookin  to compete with you beat or cheat or mistreat you simplify you  classify you deny  defy or crucify you all i really want to do is  baby  be friends with you no  and i ai not lookin  to fight with you frighten you or uptighten you drag you down or drain you down chain you down or bring you down all i really want to do is  baby  be friends with you i ai not lookin  to block you up shock or knock or lock you up analyze you  categorize you finalize you or advertise you all i really want to do is  baby  be friends with you i don   t wanta  straight face you race or chase you  track or trace you or disgrace you or displace you or define you or confine you all i really want to do is  baby  be friends with you i don   t wanta  meet your kin make you spin or do you in or select you or dissect you or inspect you or reject you all i really want to do is  baby  be friends with you i don   t wanta  fake you out take or shake or forsake you out i ai not lookin  for you to feel like me see like me or be like me all i really want to do is  baby  be friends with you;1960s
28;The Times They Are A-Changin';1;The Times They Are A-Changin';1964;come gather  round people  wherever you roam and admit that the waters around you have grown and accept it that soon you will be drenched to the bone if your time to you is worth saving then you better start swimmin  or you will sink like a stone for the times they are a changin come writers and critics  who prophesize with your pen and keep your eyes wide  the chance will not come again and do not speak too soon for the wheel still in spin and there no tellin  who that it namin for the loser now will be later to win for the times they are a changin come senators  congressmen  please heed the call do not stand in the doorway  do not block up the hall for he that gets hurt will be he who has stalled the battle outside ragin  will soon shake your windows and rattle your walls for the times they are a changin come mothers and fathers throughout the land and do not criticize what you can not understand your sons and your daughters are beyond your command your old road is rapidly aging please get outta  the new one if you can not lend your hand for the times they are a changin  the line it is drawn  the curse it is cast the slow one now will later be fast as the present now will later be past the order is rapidly fading and the first one now will later be last for the times they are a changin ;1960s
29;Ballad of Hollis Brown;2;The Times They Are A-Changin';1964;hollis brown he lived on the outside of town hollis brown he lived on the outside of town with his wife and five children and his cabin broken down he looked for work and money and he walked a ragged mile he looked for work and money and ya  walked a ragged mile your children are so hungry that they do not know how to smile your baby eyes look crazy they are a tugging at your sleeve your baby eyes look crazy they are a tugging at your sleeve you walk the floor and wonder why with every breath you breathe the rats have got your flour bad blood it got your mare the rats have got your flour bad blood it got your mare if there anyone that knows is there anyone that cares  he prayed to the lord above oh please send you a friend he prayed to the lord above oh please send you a friend your empty pockets tell ya  that you ai not a got no friend your babies are crying louder now it a poundin  on your brain your babies are crying louder now it a poundin  on your brain your wife screams are stabbin  ya  like the dirty drivin  rain your grass is turnin  black there no water in your well your grass is turnin  black there no water in your well you spent your last lone dollar on seven shotgun shells way out in the wilderness a cold coyote calls way out in the wilderness a cold coyote calls your eyes fix on the shotgun that hanging on the wall your brain is a bleedin  and your legs can not seem to stand your brain is a bleedin  and your legs can not seem to stand your eyes fix on the shotgun that you are holding in your hand there seven breezes blowin  all around the cabin door there seven breezes blowin  all around the cabin door seven shots ring out like the ocean poundin  roar there seven people dead on a south dakota farm there seven people dead on a south dakota farm somewheres in the distance there seven new people born;1960s
30;Black Crow Blues;2;Another Side of Bob Dylan;1964;i woke in the mornin   wandering weary and worn out i woke in the morning   wandering weary and worn out wishin  my long lost lover would walk to me  and talk to me tell me what it all about i was standin  at the side road listenin  to the billboard knock standin  at the side road listenin  to the billboard knock well  my wrist was empty but my nerves were kickin  tickin  like a clock well i got anything you need  babe let me tell you in front if i got anything you need  babe let me tell you in front you can come to me sometime night time  day time any time you want sometimes i am thinkin  i am too high to fall sometimes i am thinkin  i am much too high to fall other times i am thinkin  i am so low i do not know if i can come up at all black crows in the meadow sleepin  across a broad highway black crows in the meadow across a broad highway though it funny  honey i am outta  touch  do not feel much like a scarecrow today;1960s
31;Spanish Harlem Incident;3;Another Side of Bob Dylan;1964;gypsy gal  the hands of harlem cannot hold you to its heat your temperature is too hot for taming your flaming feet are burning up the street i am homeless  come and take me to the reach of your rattlin  drums let me know  babe  all about my fortune down along my restless palms gypsy gal  you got me swallowed i have fallen far beneath your pearly eyes  so fast and slashing and your flashing diamond teeth the night is pitch black  come an  make my pale face fit into place  ah  please  let me know  babe  i am nearly drowning if it you my lifelines trace i been wondering all about me ever since i seen you there on the cliffs of your wildcat charms i am riding i know i am around you but i do not know where you have slayed me  you have made me i got to laugh half ways off my heels i got to know  babe  yeah will you surround me  so i can know if i am really real;1960s
32;With God on Our Side;3;The Times They Are A-Changin';1964;oh my name it ai not nothin  my age it means less the country i come from is called the midwest i taught and brought up there the laws to abide and that the land that i live in has god on its side oh the history books tell it they tell it so well the cavalries charged the indians fell the cavalries charged the indians died ah the country was young with god on its side the spanish american war had its day and the civil war too was soon laid away and the names of the heroes i made to memorize with guns in their hands and god on their side the first world war boys it came and it went the reason for fightin  i never did get but i learned to accept it accept it with pride for you do not count the dead when god on your side the second world war came to an end we forgave the germans and then we were friends though they murdered six million in the ovens they fried the germans now too have god on their side i have learned to hate the russians all through my whole life if another war comes it them we must fight to hate them and fear them to run and to hide and accept it all bravely with god on my side but now we got weapons of chemical dust if fire them we are forced to then fire them we must one push of the button and a shot the world wide and ya  never ask questions when god on your side through many dark hour i been thinking about this that jesus christ was betrayed by a kiss but i can not think for ya  you will have to decide whether judas iscariot had god on his side so now as i am leavin i am weary as hell the confusion i am feelin  ai not no tongue can tell the words fill my head and they fall to the floor if god on our side he will stop the next war;1960s
33;Chimes of Freedom;4;Another Side of Bob Dylan;1964;far between sundown finish and midnight broken toll we ducked inside the doorways  thunder went crashing as majestic bells of bolts struck shadows in the sounds seemin  to be the chimes of freedom flashing flashing for the warriors whose strength is not to fight flashing for the refugees on the unarmed road of flight and for each and every underdog soldier in the night and we gazed upon the chimes of freedom flashing through the city melted furnace  unexpectedly we watched with faces hidden as the walls were tightening as the echo of the wedding bells before the blowin  rain dissolved into the bells of the lightning tolling for the rebel  tolling for the rake tolling for the luckless  they abandoned and forsaked tolling for the outcast  burning constantly at stake and we gazed upon the chimes of freedom flashing through the mad mystic hammering of the wild ripping hail the sky cracked it poems in naked wonder that the clinging of the church bells blew far into the breeze leavin  only bells of lightning and it thunder striking for the gentle  striking for the kind striking for the guardians and protectors of the mind and the poet and the painter far behind his rightful time and we gazed upon the chimes of freedom flashing and the wild cathedral evening the rain unraveled tales for disrobed faceless forms of no position tolling for the tongues with no place to bring their thoughts all down in taken for granted situations tolling for the deaf and blind  tolling for the mute for the mistreated  mateless mother  the mistitled prostitute for the misdemeanor outlaw  chained and cheated by pursuit and we gazed upon the chimes of freedom flashing even though a cloud white curtain in a far off corner flared and the hypnotic splattered mist was slowly lifting electric light still struck like arrows  fired but for the ones condemned to drift or else be kept from driftin  tolling for the searching ones  on their speechless  seeking trail for the lonesome hearted lovers with too personal a tale and for each unharmful  gentle soul misplaced inside a jail and we gazed upon the chimes of freedom flashing starry eyed and laughing as i recall when we were caught trapped by no track of hours for they hanged suspended as we listened one last time and we watched with one last look spellbound and swallowed  til the tolling ended tolling for the aching whose wounds cannot be nursed for the countless confused  accused  misused  strung out ones and worse and for every hung up person in the whole wide universe and we gazed upon the chimes of freedom flashin ;1960s
34;One Too Many Mornings;4;The Times They Are A-Changin';1964;down the street the dogs are barkin  and the day is a gettin  dark as the night comes in a falling the dogs will lose their bark and the silent night will shatter from the sounds inside my mind yes i am one too many mornings and a thousand miles behind from the crossroads of my doorstep my eyes start to fade and i turn my head back to the room where my love and i have laid and i gaze back to the street the sidewalk and the sign and i am one too many mornings and a thousand miles behind it a restless hungry feeling that do not mean no one no good when everything i am a sayin  you can say it just as good you are right from your side i am right from mine we are both just one too many mornings and a thousand miles behind;1960s
